priority_rank,transaction_id,customer_id,amount,payment_method,payment_status,failure_reason,previous_transactions,previous_successes,previous_failures,previous_success_rate,retry_count,days_since_failure,checkout_abandoned,customer_lifetime_value,recovered,amount_log,recovery_probability,expected_recovery,revenue_at_risk,priority_score
324,txn_001932,cust_00849,2988.02,card,failed,insufficient_funds,17,15,2,0.8824,0,3.62,0,105901.63,0,8.002700853462622,0.5674157904352009,1695.449730136189,2988.02,1695.449730136189
325,txn_001949,cust_00450,2492.0,card,abandoned,none,32,29,3,0.9062,0,0.63,1,129923.83,1,7.821242083523558,0.68020884494122,1695.0804415935204,2492.0,1695.0804415935204
326,txn_001461,cust_01646,11587.87,wallet,failed,network_error,17,11,6,0.6471,3,3.7,0,32242.96,0,9.357800433737605,0.1461845996169904,1693.9681363637346,11587.87,1693.9681363637346
327,txn_008404,cust_00775,3246.19,netbanking,failed,network_error,10,8,2,0.8,0,6.87,0,82771.83,0,8.085545285943695,0.5204890988733829,1689.6065078717868,3246.19,1689.6065078717868
328,txn_000447,cust_00214,3908.52,netbanking,abandoned,none,25,16,9,0.64,0,3.35,1,101920.37,1,8.271169883295185,0.43026641152787193,1681.704874784918,3908.52,1681.704874784918
329,txn_002622,cust_01743,3572.68,card,failed,insufficient_funds,6,5,1,0.8333,1,2.21,0,29002.42,1,8.181351156176413,0.47002927392604216,1679.2641863700921,3572.68,1679.2641863700921
330,txn_000878,cust_00547,3171.98,netbanking,abandoned,none,16,13,3,0.8125,0,3.02,1,133201.64,1,8.062426488380224,0.5281790929832937,1675.3735193611478,3171.98,1675.3735193611478
331,txn_001091,cust_01524,2757.35,card,failed,insufficient_funds,1,1,0,1.0,0,4.53,0,114080.44,1,7.9223879538549715,0.604525412279921,1666.88814555004,2757.35,1666.88814555004
332,txn_005822,cust_01785,3479.49,upi,failed,network_error,31,26,5,0.8387,1,5.98,0,10511.72,0,8.154928367454184,0.4790091400885856,1666.7075128468325,3479.49,1666.7075128468325
333,txn_005613,cust_00836,3047.45,card,failed,technical_error,29,28,1,0.9655,2,0.34,0,6185.05,0,8.022388543704425,0.546549969926358,1665.5837058520794,3047.45,1665.5837058520794
334,txn_007129,cust_00343,5407.62,card,failed,insufficient_funds,17,15,2,0.8824,2,2.5,0,35350.17,0,8.595749256121982,0.30800436488296,1665.5705636283922,5407.62,1665.5705636283922
335,txn_008720,cust_00171,4483.94,netbanking,failed,network_error,24,18,6,0.75,0,9.68,0,87793.93,0,8.408480396476989,0.37100315046438465,1663.5558664932728,4483.94,1663.5558664932728
336,txn_001215,cust_00022,2853.46,netbanking,failed,technical_error,40,36,4,0.9,0,4.84,0,132932.31,0,7.956637962344142,0.5820973561610469,1660.9915219113009,2853.46,1660.9915219113009
337,txn_007679,cust_00987,6278.62,card,abandoned,none,25,13,12,0.52,0,5.32,1,134468.31,1,8.745064748077327,0.2643895528704756,1660.0015344436256,6278.62,1660.0015344436256
338,txn_008969,cust_01937,2766.23,card,failed,authentication_failed,2,2,0,1.0,0,4.79,0,16293.85,1,7.925602098847801,0.5984760354096454,1655.5223634312235,2766.23,1655.5223634312235
339,txn_006174,cust_01198,4432.05,netbanking,failed,authentication_failed,3,3,0,1.0,0,9.77,0,35235.21,0,8.396843113724982,0.37349716926521564,1655.358129041899,4432.05,1655.358129041899
340,txn_006451,cust_00357,3118.3,upi,abandoned,none,32,27,5,0.8438,0,6.1,1,16285.56,1,8.04536389665693,0.5300919134993792,1652.9856138651144,3118.3,1652.9856138651144
341,txn_006792,cust_02123,2390.39,card,abandoned,none,13,12,1,0.9231,0,2.33,1,40221.96,0,7.77963006582582,0.6892250703338603,1647.516715875356,2390.39,1647.516715875356
342,txn_007942,cust_00409,9233.95,netbanking,failed,insufficient_funds,28,23,5,0.8214,1,8.75,0,95582.92,0,9.13075047843352,0.17818460369918906,1645.347721328127,9233.95,1645.347721328127
343,txn_008670,cust_00152,3629.31,netbanking,failed,insufficient_funds,34,29,5,0.8529,0,7.72,0,2165.64,1,8.197073323061607,0.4525506560119555,1642.44662137075,3629.31,1642.44662137075
344,txn_000918,cust_00781,12041.2,card,failed,insufficient_funds,8,6,2,0.75,0,13.19,0,125666.47,0,9.396172426423261,0.1361499796458987,1639.4091349121954,12041.2,1639.4091349121954
345,txn_006508,cust_00114,3214.72,wallet,failed,authentication_failed,35,24,11,0.6857,0,1.11,0,125568.11,0,8.075806561831891,0.5093974580564172,1637.5701963631254,3214.72,1637.5701963631254
346,txn_000118,cust_01449,2373.45,upi,abandoned,none,26,23,3,0.8846,0,2.04,1,45035.77,1,7.7725211107028285,0.6899454331737982,1637.5509883663512,2373.45,1637.5509883663512
347,txn_007719,cust_00861,3072.87,card,failed,technical_error,33,25,8,0.7576,1,1.54,0,34412.0,0,8.03069263302862,0.5326032279502007,1636.620481071333,3072.87,1636.620481071333
348,txn_002795,cust_00510,2793.79,wallet,failed,network_error,15,12,3,0.8,0,6.13,0,91452.68,0,7.935512248598329,0.5857633580373897,1636.499812051279,2793.79,1636.499812051279
349,txn_009297,cust_00653,3196.56,upi,abandoned,none,9,7,2,0.7778,0,3.76,1,114859.97,0,8.070143297936834,0.5107443804280253,1632.6250567010084,3196.56,1632.6250567010084
350,txn_004228,cust_01371,2423.86,wallet,failed,technical_error,38,27,11,0.7105,0,1.25,0,103680.9,0,7.793529069746267,0.6733643496067125,1632.1409124377265,2423.86,1632.1409124377265
351,txn_006222,cust_00497,3044.15,upi,failed,network_error,38,27,11,0.7105,0,6.6,0,45573.98,0,8.021305440014453,0.5357505051656308,1630.9049002999552,3044.15,1630.9049002999552
352,txn_004440,cust_01426,3516.19,card,failed,bank_decline,25,24,1,0.96,0,5.51,0,14310.33,0,8.165417654330101,0.4629804574886265,1627.9272548169336,3516.19,1627.9272548169336
353,txn_002337,cust_01595,2928.17,upi,abandoned,none,15,8,7,0.5333,0,0.91,1,5366.22,0,7.9824743854302485,0.5536637922466232,1621.2217065427947,2928.17,1621.2217065427947
354,txn_006560,cust_00200,3474.8,netbanking,abandoned,none,21,17,4,0.8095,0,5.71,1,66022.69,0,8.153579947330634,0.46627311057423737,1620.20580462336,3474.8,1620.20580462336
355,txn_007798,cust_02298,2867.19,wallet,abandoned,none,6,5,1,0.8333,0,3.99,1,101696.01,0,7.961436447781817,0.5646991879990727,1619.0998648390614,2867.19,1619.0998648390614
356,txn_008448,cust_02218,3419.04,upi,failed,technical_error,8,6,2,0.75,0,6.68,0,78444.51,1,8.137407525894687,0.47353481312296103,1619.0344674599287,3419.04,1619.0344674599287
357,txn_004069,cust_01411,2350.04,wallet,abandoned,none,20,19,1,0.95,0,3.96,1,24687.64,0,7.762613062431913,0.6858655970321739,1611.8115876494899,2350.04,1611.8115876494899
358,txn_000539,cust_02347,3354.11,card,failed,technical_error,35,23,12,0.6571,1,1.56,0,27006.29,0,8.11823983575355,0.4790070858832779,1606.6424568319612,3354.11,1606.6424568319612
359,txn_006389,cust_00209,2618.63,card,abandoned,none,8,7,1,0.875,0,2.49,1,108243.39,0,7.870788365408419,0.6134867124622065,1606.494709854908,2618.63,1606.494709854908
360,txn_003041,cust_00313,3780.9,netbanking,failed,technical_error,28,24,4,0.8571,0,9.99,0,27244.41,0,8.237981807832345,0.4231858233296189,1600.0232794269562,3780.9,1600.0232794269562
361,txn_000327,cust_02357,2641.92,upi,failed,bank_decline,22,21,1,0.9545,0,2.13,0,35004.47,1,7.879639645512057,0.6036862185498005,1594.8906945110891,2641.92,1594.8906945110891
362,txn_004375,cust_00141,11994.49,card,failed,network_error,26,24,2,0.9231,2,12.34,0,20500.86,1,9.392286024793757,0.13279136785190906,1592.7647337860446,11994.49,1592.7647337860446
363,txn_004123,cust_01753,2095.76,wallet,failed,network_error,16,15,1,0.9375,0,4.89,0,5927.59,0,7.648148575138947,0.7574302373736739,1587.3919942782509,2095.76,1587.3919942782509
364,txn_003112,cust_01752,2921.27,netbanking,failed,insufficient_funds,13,11,2,0.8462,0,3.31,0,125709.52,0,7.980115990505865,0.5433158304394298,1587.172235987793,2921.27,1587.172235987793
365,txn_001012,cust_01811,3188.65,card,abandoned,none,22,20,2,0.9091,0,6.8,1,56380.68,1,8.067666471891107,0.496814698940443,1584.1681897764436,3188.65,1584.1681897764436
366,txn_000200,cust_02434,3526.71,card,abandoned,none,16,11,5,0.6875,0,4.5,1,58334.89,0,8.16840421420163,0.4484810179356033,1581.6624907636715,3526.71,1581.6624907636715
367,txn_003115,cust_01729,2799.46,wallet,failed,network_error,18,16,2,0.8889,1,4.28,0,61043.12,1,7.937538968384161,0.5645423275172559,1580.4136641914572,2799.46,1580.4136641914572
368,txn_003811,cust_00795,3644.46,upi,failed,network_error,24,20,4,0.8333,2,2.24,0,38793.89,1,8.201237836754522,0.43217267984701646,1575.0360447952576,3644.46,1575.0360447952576
369,txn_009947,cust_00754,3155.52,card,abandoned,none,24,17,7,0.7083,0,3.26,1,83626.57,1,8.057225433919399,0.4991137793370656,1574.963512973697,3155.52,1574.963512973697
370,txn_009247,cust_00052,6026.59,wallet,failed,insufficient_funds,6,5,1,0.8333,1,6.91,0,113611.54,0,8.704102541507519,0.2610859117241898,1573.4577447378852,6026.59,1573.4577447378852
371,txn_004433,cust_02443,2619.13,wallet,abandoned,none,17,13,4,0.7647,0,2.63,1,72703.21,1,7.870979213844805,0.6000977689663146,1571.7340696327437,2619.13,1571.7340696327437
372,txn_005586,cust_00678,2777.81,netbanking,abandoned,none,10,7,3,0.7,0,2.16,1,36204.06,0,7.929778057487938,0.5647156259344183,1568.6727128768864,2777.81,1568.6727128768864
373,txn_007207,cust_00751,5880.88,wallet,failed,technical_error,13,10,3,0.7692,2,3.22,0,120387.62,0,8.67963171768176,0.26627082982526934,1565.90679770283,5880.88,1565.90679770283
374,txn_006191,cust_00634,3753.07,netbanking,failed,authentication_failed,2,2,0,1.0,2,0.49,0,14671.89,0,8.230595863749377,0.41680280242872597,1564.2900937111785,3753.07,1564.2900937111785
375,txn_008797,cust_02482,3764.23,card,failed,insufficient_funds,40,32,8,0.8,1,1.45,0,128667.56,0,8.233564227345562,0.4154732306569273,1563.9367990357255,3764.23,1563.9367990357255
376,txn_006721,cust_02082,4829.47,card,abandoned,none,26,15,11,0.5769,0,4.95,1,119718.8,0,8.482699050401067,0.3236009752678746,1562.8212020269425,4829.47,1562.8212020269425
377,txn_006636,cust_00287,3071.1,netbanking,abandoned,none,5,4,1,0.8,0,3.69,1,117403.72,1,8.030116645821089,0.5071611907579751,1557.5427329368172,3071.1,1557.5427329368172
378,txn_005096,cust_02003,3221.53,netbanking,failed,insufficient_funds,29,27,2,0.931,1,3.64,0,16269.52,0,8.07792204431229,0.4826433199008399,1554.849934360153,3221.53,1554.849934360153
379,txn_008794,cust_00761,4754.48,card,abandoned,none,15,8,7,0.5333,0,3.95,1,122688.79,0,8.467052916256987,0.3266735683067715,1553.162947043179,4754.48,1553.162947043179
380,txn_007555,cust_01368,3224.11,upi,abandoned,none,6,5,1,0.8333,0,6.3,1,66421.42,0,8.078722337175321,0.4806914778420225,1549.8022006252431,3224.11,1549.8022006252431
381,txn_004600,cust_00094,3377.73,wallet,abandoned,none,4,3,1,0.75,0,6.43,1,35112.33,0,8.125255178224267,0.45856600311451684,1548.912145699997,3377.73,1548.912145699997
382,txn_002029,cust_00274,3535.28,card,failed,technical_error,40,32,8,0.8,0,8.06,0,80584.42,0,8.170830606142887,0.4376725731980737,1547.295094575686,3535.28,1547.295094575686
383,txn_007418,cust_01625,4512.23,card,failed,technical_error,22,14,8,0.6364,1,4.1,0,45963.01,0,8.414768362410506,0.3423648517525765,1544.8289550235281,4512.23,1544.8289550235281
384,txn_006376,cust_01219,2928.12,card,failed,network_error,18,15,3,0.8333,0,6.88,0,117748.67,1,7.982457315602704,0.5272172959250923,1543.755508544181,2928.12,1543.755508544181
385,txn_006782,cust_01819,2396.87,netbanking,failed,network_error,10,8,2,0.8,0,5.07,0,21467.42,0,7.782336122274741,0.6417513016862578,1538.1944424727408,2396.87,1538.1944424727408
386,txn_006815,cust_00370,2836.98,card,abandoned,none,40,33,7,0.825,0,4.94,1,34627.38,1,7.950847810478806,0.5414429952973641,1536.062948798716,2836.98,1536.062948798716
387,txn_006100,cust_01443,4654.63,wallet,failed,bank_decline,6,5,1,0.8333,0,7.34,0,37976.89,0,8.445832518899625,0.3297865815208141,1535.034515944227,4654.63,1535.034515944227
388,txn_009926,cust_02033,2486.89,upi,abandoned,none,12,10,2,0.8333,0,2.77,1,78570.34,1,7.819190240663032,0.6171047916628889,1534.6717353385218,2486.89,1534.6717353385218
389,txn_002480,cust_02365,6993.14,card,failed,technical_error,2,2,0,1.0,2,9.33,0,19630.95,1,8.852827934580544,0.21935333322415915,1533.9685687031963,6993.14,1533.9685687031963
390,txn_004646,cust_01150,6096.56,netbanking,failed,authentication_failed,24,21,3,0.875,2,2.14,0,47625.38,1,8.715643970140063,0.25143982265069814,1532.9179651793404,6096.56,1532.9179651793404
391,txn_004742,cust_01305,2823.33,wallet,abandoned,none,23,18,5,0.7826,0,4.44,1,71948.22,1,7.946026447310137,0.5417786312595807,1529.6198629941118,2823.33,1529.6198629941118
392,txn_007625,cust_01123,2621.6,wallet,abandoned,none,27,23,4,0.8519,0,4.29,1,84035.73,1,7.871921471097324,0.5818288453426536,1525.3225009503005,2621.6,1525.3225009503005
393,txn_006089,cust_01748,5146.61,wallet,failed,network_error,11,8,3,0.7273,0,13.6,0,10776.93,0,8.54628780827051,0.29586440481226106,1522.6987044508307,5146.61,1522.6987044508307
394,txn_009160,cust_01822,2397.05,wallet,abandoned,none,30,22,8,0.7333,0,2.31,1,22340.4,1,7.782411186079011,0.634369347544503,1520.6150445315511,2397.05,1520.6150445315511
395,txn_004932,cust_00305,5273.81,netbanking,failed,authentication_failed,37,33,4,0.8919,1,4.49,0,117612.67,1,8.570697938738222,0.2871018821094174,1514.1207768874667,5273.81,1514.1207768874667
396,txn_000862,cust_00700,2508.38,netbanking,abandoned,none,21,18,3,0.8571,0,2.79,1,91145.87,1,7.827790989661161,0.6027503936757199,1511.9270324883023,2508.38,1511.9270324883023
397,txn_002272,cust_01187,2998.38,upi,abandoned,none,16,11,5,0.6875,0,2.11,1,148544.72,1,8.006160879625082,0.5033505678414211,1509.2362756043601,2998.38,1509.2362756043601
398,txn_006303,cust_00744,2131.45,netbanking,failed,authentication_failed,16,15,1,0.9375,0,0.2,0,47110.72,1,7.665026832432106,0.7076908492755244,1508.4076606883164,2131.45,1508.4076606883164
399,txn_000487,cust_00736,3067.63,card,failed,insufficient_funds,25,20,5,0.8,0,5.89,0,23983.66,0,8.0289864869086,0.4904216869623135,1504.4322795762018,3067.63,1504.4322795762018
400,txn_004004,cust_01012,3443.41,netbanking,failed,insufficient_funds,3,2,1,0.6667,0,2.81,0,137071.23,1,8.144507906081063,0.4362709790099234,1502.2598518325603,3443.41,1502.2598518325603
401,txn_001061,cust_01066,2010.38,card,abandoned,none,4,4,0,1.0,0,1.51,1,68561.41,1,7.606576332637887,0.7457313839318688,1499.2034596289504,2010.38,1499.2034596289504
402,txn_000474,cust_00668,2257.84,wallet,failed,network_error,24,20,4,0.8333,1,1.78,0,14131.35,1,7.7226066861596845,0.6637060432395862,1498.5420526680673,2257.84,1498.5420526680673
403,txn_002469,cust_02441,3607.91,wallet,failed,authentication_failed,3,2,1,0.6667,0,3.08,0,111963.96,0,8.19116106667598,0.41470334569170075,1496.212347954544,3607.91,1496.212347954544
404,txn_009407,cust_02123,2090.21,card,failed,network_error,13,12,1,0.9231,0,4.71,0,40221.96,1,7.645498124801906,0.7153512364099334,1495.2343078564068,2090.21,1495.2343078564068
405,txn_000609,cust_01481,4172.8,upi,failed,bank_decline,11,8,3,0.7273,0,3.96,0,74965.53,0,8.33658217082073,0.35747632774044114,1491.6772203953128,4172.8,1491.6772203953128
406,txn_005494,cust_00707,2133.17,netbanking,abandoned,none,34,31,3,0.9118,0,1.18,1,78889.46,0,7.665833091294238,0.6989625807339388,1491.0060083442163,2133.17,1491.0060083442163
407,txn_007277,cust_01483,2280.22,card,failed,network_error,17,14,3,0.8235,0,5.21,0,25877.48,0,7.732465666559399,0.653610042387286,1490.3746908523372,2280.22,1490.3746908523372
408,txn_008746,cust_01842,3169.16,netbanking,failed,authentication_failed,38,33,5,0.8684,1,0.94,0,46611.15,1,8.061537338783717,0.4692722484811745,1487.1988389965989,3169.16,1487.1988389965989
409,txn_005432,cust_00789,3306.79,card,abandoned,none,6,4,2,0.6667,0,3.77,1,78999.2,1,8.104035571661738,0.44940701123590093,1486.0946106847648,3306.79,1486.0946106847648
410,txn_008684,cust_02206,17011.44,card,failed,authentication_failed,28,16,12,0.5714,0,12.71,0,78784.59,0,9.741700120134986,0.08730357387323617,1485.1595087301246,17011.44,1485.1595087301246
411,txn_009912,cust_02500,2451.95,netbanking,abandoned,none,24,23,1,0.9583,0,5.28,1,33887.69,0,7.805046660846509,0.6055469003402771,1484.7707222893425,2451.95,1484.7707222893425
412,txn_008574,cust_01232,2035.8,card,abandoned,none,18,16,2,0.8889,0,1.18,1,16232.48,1,7.619135227803142,0.728735747260863,1483.560234273665,2035.8,1483.560234273665
413,txn_009170,cust_01411,3821.37,netbanking,failed,technical_error,20,19,1,0.95,1,8.08,0,24687.64,1,8.24862592806858,0.3876247447122162,1481.2575707009216,3821.37,1481.2575707009216
414,txn_008038,cust_00389,2069.31,wallet,abandoned,none,35,28,7,0.8,0,0.83,1,34496.61,1,7.635453633500843,0.7150587786321928,1479.678281211383,2069.31,1479.678281211383
415,txn_008592,cust_00759,4516.22,netbanking,failed,authentication_failed,33,25,8,0.7576,1,3.23,0,22954.95,0,8.415652039361188,0.3271065574582976,1477.2851769243127,4516.22,1477.2851769243127
416,txn_000788,cust_00235,2851.26,netbanking,failed,insufficient_funds,1,1,0,1.0,0,6.45,0,134006.31,0,7.955866941474365,0.5166472844719822,1473.0957363235839,2851.26,1473.0957363235839
417,txn_004648,cust_01351,2893.63,card,abandoned,none,27,23,4,0.8519,0,4.93,1,106811.21,1,7.9706125752761015,0.5070675936293046,1467.2660009535648,2893.63,1467.2660009535648
418,txn_001819,cust_01888,2951.42,netbanking,failed,insufficient_funds,4,2,2,0.5,0,0.88,0,15871.53,1,7.990380452022797,0.49643440386907256,1465.1864282672582,2951.42,1465.1864282672582
419,txn_000139,cust_00540,5277.15,upi,failed,authentication_failed,40,22,18,0.55,0,6.43,0,33983.71,0,8.571330936515439,0.2767150443992621,1460.266796551566,5277.15,1460.266796551566
420,txn_005463,cust_00708,2222.48,wallet,abandoned,none,11,9,2,0.8182,0,2.38,1,55220.8,0,7.706828815082323,0.6566624023044592,1459.4190558736143,2222.48,1459.4190558736143
421,txn_008301,cust_02398,3253.47,upi,failed,network_error,31,30,1,0.9677,1,8.18,0,45641.97,0,8.087784714964117,0.44832776933105134,1458.6209476854956,3253.47,1458.6209476854956
422,txn_008011,cust_00724,4774.01,upi,failed,technical_error,28,22,6,0.7857,0,11.67,0,76764.78,1,8.471151347153475,0.30539740034008467,1457.9702431975677,4774.01,1457.9702431975677
423,txn_005850,cust_00862,5262.74,netbanking,failed,technical_error,13,11,2,0.8462,0,12.04,0,119017.79,0,8.56859707968806,0.27696728113776536,1457.6067891349633,5262.74,1457.6067891349633
424,txn_004034,cust_02036,4919.23,netbanking,failed,insufficient_funds,6,6,0,1.0,1,8.9,0,53061.04,0,8.501110556361182,0.2959795508337883,1455.9914858480963,4919.23,1455.9914858480963
425,txn_006393,cust_02315,2205.06,upi,failed,technical_error,14,11,3,0.7857,0,3.17,0,57534.77,0,7.698963397992984,0.6600389883519212,1455.4255716552873,2205.06,1455.4255716552873
426,txn_009119,cust_00936,2589.24,netbanking,abandoned,none,40,32,8,0.8,0,2.92,1,102379.4,1,7.859505814493196,0.560637973171173,1451.6262656537278,2589.24,1451.6262656537278
427,txn_004254,cust_00943,2111.61,upi,abandoned,none,3,3,0,1.0,0,4.97,1,6798.18,0,7.655679428881599,0.6857018749584866,1447.9349361810898,2111.61,1447.9349361810898
428,txn_008323,cust_00971,2822.45,wallet,failed,technical_error,34,21,13,0.6176,1,1.11,0,31893.91,1,7.945714820438297,0.5126782239140322,1447.00865308616,2822.45,1447.00865308616
429,txn_001929,cust_00772,3021.08,upi,failed,technical_error,31,23,8,0.7419,0,6.98,0,67841.62,0,8.013700615017038,0.47876125126401026,1446.376040968676,3021.08,1446.376040968676
430,txn_001474,cust_01126,3067.15,netbanking,abandoned,none,6,5,1,0.8333,0,4.85,1,138411.69,1,8.028830053078162,0.4707349204083596,1443.8146111305002,3067.15,1443.8146111305002
431,txn_007343,cust_00372,2672.81,card,abandoned,none,29,27,2,0.931,0,6.44,1,45305.62,1,7.891259700537541,0.5391995132659742,1441.1778510524284,2672.81,1441.1778510524284
432,txn_006592,cust_01609,2919.1,upi,failed,network_error,37,34,3,0.9189,0,11.18,0,22173.24,1,7.979373141251269,0.4930964707430455,1439.3979077460242,2919.1,1439.3979077460242
433,txn_007821,cust_01128,3380.38,upi,failed,authentication_failed,13,11,2,0.8462,0,7.25,0,8678.96,1,8.12603918917549,0.42557499249509895,1438.6051931305826,3380.38,1438.6051931305826
434,txn_003832,cust_02104,2550.56,wallet,failed,technical_error,16,13,3,0.8125,1,2.9,0,15906.71,1,7.844460215806611,0.5639496730350516,1438.3874780562812,2550.56,1438.3874780562812
435,txn_008112,cust_01973,1828.59,card,failed,network_error,9,9,0,1.0,0,4.0,0,16429.54,0,7.511847177018077,0.7866098815384769,1438.3869632824433,1828.59,1438.3869632824433
436,txn_005629,cust_02480,16110.09,upi,failed,technical_error,33,30,3,0.9091,3,8.9,0,57477.49,0,9.687263133720807,0.08911107135288113,1435.5873794913368,16110.09,1435.5873794913368
437,txn_002265,cust_01531,4125.68,netbanking,failed,insufficient_funds,6,5,1,0.8333,1,5.71,0,7541.14,1,8.32522848858303,0.3475365868599661,1433.824745676425,4125.68,1433.824745676425
438,txn_007668,cust_01381,2182.88,netbanking,failed,technical_error,7,6,1,0.8571,0,4.52,0,21202.75,1,7.688858390300316,0.6566263299159936,1433.336483047024,2182.88,1433.336483047024
439,txn_000545,cust_01803,4598.07,wallet,failed,authentication_failed,36,21,15,0.5833,1,2.11,0,27989.24,1,8.433609388124243,0.31053585464197186,1427.8655971536116,4598.07,1427.8655971536116
440,txn_001518,cust_02201,3313.12,upi,failed,technical_error,40,25,15,0.625,0,6.2,0,90372.26,0,8.105947407349046,0.4299932954810477,1424.6193871241687,3313.12,1424.6193871241687
441,txn_007527,cust_02369,3612.33,wallet,failed,network_error,5,4,1,0.8,0,10.07,0,140582.26,1,8.192385063815877,0.3935960241629185,1421.7987259644353,3612.33,1421.7987259644353
442,txn_002633,cust_01674,2285.41,netbanking,failed,authentication_failed,7,6,1,0.8571,0,2.15,0,8395.68,1,7.734738180853932,0.621748120728304,1420.9493725936732,2285.41,1420.9493725936732
443,txn_008896,cust_00664,2587.76,upi,failed,technical_error,27,26,1,0.963,0,9.05,0,44137.77,1,7.858934275570513,0.5466972305869754,1414.7212254237515,2587.76,1414.7212254237515
444,txn_007621,cust_00127,2305.47,upi,abandoned,none,21,15,6,0.7143,0,2.44,1,9517.63,1,7.743473496193149,0.6134064947021757,1414.1902713410248,2305.47,1414.1902713410248
445,txn_001910,cust_01965,3763.09,upi,failed,bank_decline,38,35,3,0.9211,1,1.01,0,143472.36,0,8.233261411152675,0.3750466001964501,1411.3341107332594,3763.09,1411.3341107332594
446,txn_003147,cust_01944,2417.93,card,failed,technical_error,24,21,3,0.875,0,5.0,0,123971.34,1,7.791080572613816,0.5836387729314901,1411.1976982342378,2417.93,1411.1976982342378
447,txn_003763,cust_01959,2643.68,upi,abandoned,none,26,17,9,0.6538,0,3.16,1,33122.84,1,7.8803053539866,0.533547620174377,1410.5291725025968,2643.68,1410.5291725025968
448,txn_002341,cust_01201,3121.78,upi,failed,network_error,18,12,6,0.6667,0,6.4,0,134997.44,0,8.046478909716853,0.45144563630228574,1409.3139584957496,3121.78,1409.3139584957496
449,txn_002235,cust_00048,1966.13,upi,failed,insufficient_funds,38,34,4,0.8947,0,1.26,0,64836.64,1,7.584330906698315,0.7140179336702172,1403.852079927024,1966.13,1403.852079927024
450,txn_004074,cust_01324,8285.57,netbanking,failed,network_error,35,30,5,0.8571,2,9.8,0,28857.02,1,9.022391411002728,0.16931655275905405,1402.8841500438355,8285.57,1402.8841500438355
451,txn_001076,cust_01421,2184.56,wallet,abandoned,none,15,14,1,0.9333,0,4.24,1,78397.19,1,7.689627367598453,0.6418360591578477,1402.1293813938678,2184.56,1402.1293813938678
452,txn_007660,cust_00804,2491.05,wallet,abandoned,none,9,6,3,0.6667,0,3.3,1,10401.98,0,7.8208609439115175,0.5609656147460033,1397.3933946130314,2491.05,1397.3933946130314
453,txn_001244,cust_00844,3647.62,wallet,failed,network_error,21,16,5,0.7619,1,6.27,0,97784.55,1,8.202104292893663,0.38222042679046964,1394.1948731694529,3647.62,1394.1948731694529
454,txn_008992,cust_00207,3452.21,card,abandoned,none,5,4,1,0.8,0,6.02,1,142382.3,0,8.14705951222188,0.40256528710581474,1389.7399097995647,3452.21,1389.7399097995647
455,txn_003051,cust_00578,2676.42,wallet,failed,bank_decline,16,14,2,0.875,0,2.79,0,88739.09,1,7.8926089232574155,0.5159924424284253,1381.0124927642862,2676.42,1381.0124927642862
456,txn_007242,cust_01667,3248.76,wallet,failed,technical_error,11,10,1,0.9091,0,10.81,0,91490.33,0,8.086336426443175,0.42503182899045516,1380.8264047510313,3248.76,1380.8264047510313
457,txn_006308,cust_01094,5092.03,wallet,failed,authentication_failed,10,8,2,0.8,0,10.34,0,42071.81,0,8.535628217305112,0.2703530273913997,1376.645726067829,5092.03,1376.645726067829
458,txn_007099,cust_00698,6830.88,netbanking,failed,network_error,3,3,0,1.0,3,5.98,0,68010.32,0,8.82935517091134,0.20096265022833357,1372.7517481917191,6830.88,1372.7517481917191
459,txn_000451,cust_02064,2179.74,wallet,abandoned,none,22,21,1,0.9545,0,6.16,1,6645.06,1,7.687419547724458,0.6296657060066106,1372.5075260108495,2179.74,1372.5075260108495
460,txn_001564,cust_01104,2213.85,card,abandoned,none,19,16,3,0.8421,0,3.36,1,35890.07,0,7.702939960095834,0.6198590784844932,1372.2750209028952,2213.85,1372.2750209028952
461,txn_003686,cust_02479,1747.75,wallet,abandoned,none,1,1,0,1.0,0,0.39,1,116611.77,1,7.466656525979691,0.7820775870893651,1366.876102835438,1747.75,1366.876102835438
462,txn_002105,cust_01730,3179.7,netbanking,abandoned,none,40,29,11,0.725,0,5.29,1,91689.63,0,8.06485657733626,0.4297925759468026,1366.611453738048,3179.7,1366.611453738048
463,txn_002171,cust_02377,2580.88,upi,abandoned,none,29,18,11,0.6207,0,1.82,1,94345.62,0,7.856273094726254,0.5280323433110516,1362.788114204627,2580.88,1362.788114204627
464,txn_007643,cust_00023,3159.15,wallet,abandoned,none,24,15,9,0.625,0,4.65,1,87025.47,1,8.0583747738088,0.4310124142748267,1361.632868556319,3159.15,1361.632868556319
465,txn_007437,cust_01352,3081.76,card,abandoned,none,29,23,6,0.7931,0,6.34,1,73816.23,0,8.033580578602324,0.44134450266907715,1360.1178345454553,3081.76,1360.1178345454553
466,txn_002476,cust_01616,3129.22,upi,failed,insufficient_funds,22,16,6,0.7273,1,0.34,0,137766.53,0,8.048858568604082,0.4343410124096651,1359.1485828525722,3129.22,1359.1485828525722
467,txn_004566,cust_01260,2887.8,wallet,failed,bank_decline,21,18,3,0.8571,0,3.62,0,90878.48,0,7.968596469963248,0.4691508862818325,1354.813929404676,2887.8,1354.813929404676
